PLU,Item Name,Qty,Total $,Net $,Sales %
,Mango Habanero,20,4.47,4.47,0.01%
,Lemon Pepper,13,2.68,2.68,0.01%
,Flats only,2,2.51,2.51,0.01%
,Hot Honey,14,5.96,5.96,0.02%
,Sweet Red Chili,10,2.24,2.24,0.01%
,Garlic Parmesan,20,8.51,8.51,0.03%
,Tossed in Sauce,112,0,0,0.00%
,Nashville Hot,2,0,0,0.00%
,Hot and Spicy,49,5.21,5.21,0.02%
,Ranch Dip Sauce,18,5.96,5.96,0.02%
,Plain,30,0,0,0.00%
,Sauce on Side,67,0,0,0.00%
,Cook Light,2,0,0,0.00%
,WELL DONE,22,0,0,0.00%
,Ranch,39,41.72,41.72,0.14%
,No Sauce,30,7.9,7.9,0.03%
,Original BBQ,93,10.88,10.88,0.04%
,Bleu Cheese,6,2.98,2.98,0.01%
,,,,,
,,,,,
Report Group: Wings,,234,"$3,337.46","$3,332.85",10.96%
,Wing Dings,144,2138.36,2133.75,7.01%
,Boneless Wings,47,640.53,640.53,2.11%
,Chicken Tenders,43,558.57,558.57,1.84%
,,,,,
,,,,,
,,,Tax: $432.94,"Adj for Order/Multi-Item Coupons: -$1,233.52",
,,,"Total: $31,911.87","Total: $29,187.94",
