plu,item_name,qty,gross_cents,net_cents,sales_pct,is_numeric_qty
nan,Chef Salad,13,15587,15587,0.51%,True
nan,Grilled Chicken Salad,13,15587,15587,0.51%,True
nan,Tossed Salad,7,7693,7693,0.25%,True
nan,Greek Chicken Salad,7,10493,10493,0.34%,True
nan,Greek Salad,18,21942,21942,0.72%,True
nan,,,,,,False
nan,,,,,,False
Report Group: Sandwiches,,19,,,0.64%,True
nan,Giant Corned Beef,1,1599,1599,0.05%,True
nan,Corned Beef Sandwich,10,9990,9990,0.33%,True
nan,Spicy Chicken Sandwich,8,7992,7992,0.26%,True
nan,,,,,,False
nan,,,,,,False
Report Group: SandwichMods,,20,,,0.07%,True
nan,Fries,10,1990,1693,0.06%,True
nan,Cajun Fries,1,399,399,0.01%,True
nan,No Fries,9,0,0,0.00%,True
nan,,,,,,False
nan,,,,,,False
Report Group: Sauces,,130,,,0.9%,True
nan,Greek Dressing,1,0,0,0.00%,True
nan,Ranch,2,0,0,0.00%,True
nan,Bleu Cheese,2,0,0,0.00%,True
nan,Pizza Sauce,7,1088,1088,0.04%,True
nan,Garlic Cream Cheese,3,657,657,0.02%,True
nan,Original BBQ,11,1639,1639,0.05%,True
nan,Dressings,5,745,745,0.02%,True
nan,Hot and Spicy,3,447,447,0.01%,True
nan,Tartar Sauce,2,298,298,0.01%,True
nan,Ranch,74,11656,11656,0.38%,True
nan,Cocktail Sauce,1,149,149,0.00%,True
nan,Bottle of Ranch,17,10183,10183,0.33%,True
nan,Garlic Parmesan,2,388,388,0.01%,True
nan,,,,,,False
nan,,,,,,False
Report Group: Seafood,,29,,,1.67%,True
nan,Alaskan Cod Dinner,17,27183,27183,0.89%,True
nan,20pc Jumbo Shrimp,4,11496,11496,0.38%,True
nan,10pc Jumbo Shrimp,8,11992,11992,0.39%,True
nan,,,,,,False
nan,,,,,,False
Report Group: SeafoodMods,,88,,,0.05%,True
nan,BBQ Fries,2,398,398,0.01%,True
nan,Fries,23,0,0,0.00%,True
nan,No Fries,4,0,0,0.00%,True
nan,Bread,27,0,0,0.00%,True
nan,No Bread,2,0,0,0.00%,True
